sid,time,lat,lon,tokyo_lat,tokyo_lon,storm_dir,storm_speed,tokyo_grade,tokyo_wind,tokyo_pres,tokyo_r50_dir,tokyo_r50_long,tokyo_r50_short,tokyo_r30_dir,tokyo_r30_long,tokyo_r30_short,tokyo_land,distance_to_shenzhen,precipitation
2000230N08139,2000-08-23 03:00:00,24.6,118.300003,24.700001,118.400002,310.0,12.0,5.0,55.0,978.0,9.0,-9999.0,-9999.0,2.0,230.0,190.0,-15.0,489.066531368652,5.164999961853027
2000230N08139,2000-08-23 06:00:00,25.0,117.900002,25.200001,117.900002,300.0,11.0,3.0,45.0,985.0,0.0,-9999.0,-9999.0,2.0,220.0,180.0,0.0,476.9190741031359,8.800000190734863
2000240N22115,2000-08-28 12:00:00,20.299999,115.300003,20.200001,115.199997,200.0,6.0,3.0,35.0,996.0,0.0,-9999.0,-9999.0,9.0,160.0,160.0,0.0,280.6051393951224,1.9249999523162842
2000240N22115,2000-08-28 15:00:00,20.1,115.199997,19.9,115.0,195.0,5.0,3.0,35.0,994.0,0.0,-9999.0,-9999.0,9.0,160.0,160.0,-15.0,296.29683177804225,1.4549999237060547
2000240N22115,2000-08-28 18:00:00,19.799999,115.199997,19.6,115.0,0.0,5.0,3.0,35.0,992.0,0.0,-9999.0,-9999.0,9.0,160.0,160.0,0.0,327.19527182007465,1.1699999570846558
2000240N22115,2000-08-28 21:00:00,19.5,115.199997,19.299999,115.099998,165.0,6.0,3.0,35.0,992.0,0.0,-9999.0,-9999.0,9.0,160.0,160.0,-15.0,358.5343328918144,3.1700000762939453
2000240N22115,2000-08-29 00:00:00,19.200001,115.300003,19.1,115.300003,160.0,6.0,3.0,35.0,992.0,0.0,-9999.0,-9999.0,9.0,160.0,160.0,0.0,393.4909148129856,0.699999988079071
2000240N22115,2000-08-29 03:00:00,19.0,115.5,18.799999,115.5,155.0,5.0,3.0,35.0,992.0,0.0,-9999.0,-9999.0,9.0,160.0,160.0,-15.0,421.5271556344785,7.664999961853027
2000240N22115,2000-08-29 06:00:00,18.799999,115.599998,18.6,115.599998,145.0,3.0,3.0,35.0,992.0,0.0,-9999.0,-9999.0,9.0,160.0,160.0,0.0,446.0490362826312,5.494999885559082
2000240N22115,2000-08-29 09:00:00,18.700001,115.699997,18.4,115.699997,135.0,2.0,3.0,35.0,991.0,0.0,-9999.0,-9999.0,9.0,160.0,160.0,-15.0,460.2199056801581,4.125
2000240N22115,2000-08-29 12:00:00,18.6,115.699997,18.200001,115.699997,0.0,1.0,3.0,35.0,990.0,0.0,-9999.0,-9999.0,9.0,160.0,160.0,0.0,470.582524480465,12.049999237060547
2000240N22115,2000-08-29 15:00:00,18.6,115.699997,18.1,115.800003,225.0,1.0,3.0,35.0,990.0,0.0,-9999.0,-9999.0,9.0,160.0,160.0,-15.0,470.582524480465,41.0099983215332
