sid,time,lat,lon,storm_dir,storm_speed,usa_wind,usa_pres,usa_poci,usa_roci,usa_rmw,distance_to_shenzhen,precipitation
2001204N19127,2001-07-24 03:00:00,20.5,117.699997,275.0,13.0,63.0,978.0,1005.0,79.0,45.0,439.9110836874693,11.989999771118164
2001204N19127,2001-07-24 06:00:00,20.6,117.0,275.0,12.0,70.0,972.0,1005.0,105.0,40.0,373.12877099635534,4.675000190734863
2001204N19127,2001-07-24 09:00:00,20.6,116.400002,275.0,11.0,78.0,965.0,1005.0,120.0,38.0,324.5448727163628,4.96999979019165
2001204N19127,2001-07-24 12:00:00,20.6,115.800003,275.0,11.0,85.0,958.0,1005.0,135.0,35.0,281.3015177871222,1.375
2001204N19127,2001-07-24 15:00:00,20.6,115.199997,275.0,11.0,85.0,958.0,1005.0,135.0,35.0,246.2293015885901,2.494999885559082
2001204N19127,2001-07-24 18:00:00,20.700001,114.699997,270.0,9.0,85.0,958.0,1005.0,135.0,35.0,215.42217045142684,11.779999732971191
2001204N19127,2001-07-24 21:00:00,20.6,114.300003,265.0,7.0,85.0,958.0,1005.0,135.0,35.0,217.50822350088404,7.639999866485596
2001204N19127,2001-07-25 00:00:00,20.6,113.900002,275.0,7.0,85.0,958.0,1005.0,135.0,35.0,216.67883404509928,2.944999933242798
2001204N19127,2001-07-25 03:00:00,20.700001,113.599998,285.0,7.0,83.0,961.0,1004.0,135.0,30.0,210.33768485165777,7.264999866485596
2001204N19127,2001-07-25 06:00:00,20.799999,113.199997,295.0,7.0,80.0,963.0,1002.0,135.0,25.0,213.1336009480527,3.7099997997283936
2001204N19127,2001-07-25 09:00:00,21.0,112.900002,295.0,8.0,80.0,963.0,1002.0,135.0,25.0,209.13310141263352,10.489999771118164
2001204N19127,2001-07-25 12:00:00,21.200001,112.5,290.0,10.0,80.0,963.0,1002.0,135.0,25.0,219.4231184821724,8.760000228881836
2001204N19127,2001-07-25 15:00:00,21.299999,111.900002,285.0,12.0,78.0,965.0,1001.0,158.0,20.0,262.01678912362024,11.764999389648438
2001204N19127,2001-07-25 18:00:00,21.4,111.199997,280.0,11.0,75.0,967.0,1000.0,180.0,15.0,320.9354274717379,1.5249998569488525
2001239N19116,2001-08-27 06:00:00,19.299999,115.900002,270.0,9.0,15.0,1000.0,1002.0,180.0,40.0,408.2107953996574,0.10999999940395355
2001239N19116,2001-08-27 09:00:00,19.299999,115.400002,270.0,8.0,15.0,999.0,1002.0,165.0,40.0,386.6106758357485,0.0
2001239N19116,2001-08-27 12:00:00,19.299999,115.0,275.0,8.0,15.0,998.0,1001.0,150.0,40.0,373.65106623714,0.3799999952316284
2001239N19116,2001-08-27 15:00:00,19.4,114.599998,275.0,8.0,15.0,1002.0,1001.0,165.0,50.0,353.99846748471725,0.14499999582767487
2001239N19116,2001-08-27 18:00:00,19.4,114.199997,270.0,7.0,15.0,1006.0,1001.0,180.0,60.0,349.8079349903053,0.14499999582767487
2001239N19116,2001-08-27 21:00:00,19.4,113.800003,260.0,5.0,18.0,1005.0,1001.0,190.0,75.0,350.52069271177123,0.5299999713897705
2001239N19116,2001-08-28 00:00:00,19.299999,113.699997,245.0,3.0,20.0,1004.0,1001.0,200.0,90.0,362.5265324630445,0.5649999976158142
